game_id,team_id_h,cluster_0h,cluster_1h,cluster_2h,cluster_3h,cluster_4h,cluster_5h,cluster_6h,cluster_7h,cluster_8h,cluster_9h,cluster_10h,cluster_11h,team_id_a,cluster_0a,cluster_1a,cluster_2a,cluster_3a,cluster_4a,cluster_5a,cluster_6a,cluster_7a,cluster_8a,cluster_9a,cluster_10a,cluster_11a
20300001,1610612755,0,0,1,0,1,3,1,0,1,3,0,1,1610612748,1,0,0,0,0,2,1,0,1,6,1,0
20300002,1610612759,0,0,1,0,2,2,0,0,3,2,0,0,1610612756,0,0,2,0,0,1,1,0,1,6,0,1
20300003,1610612747,1,0,1,0,0,4,2,0,0,2,1,0,1610612742,3,0,1,0,0,1,0,0,0,6,0,1
20300004,1610612738,0,0,1,0,2,1,0,0,2,4,0,1,1610612748,1,0,3,0,0,3,0,0,1,3,0,0
20300005,1610612752,0,0,1,0,1,1,1,0,2,4,1,1,1610612753,1,0,0,0,0,1,2,0,0,7,0,1
20300006,1610612740,1,1,1,0,0,1,1,0,0,6,0,1,1610612737,0,0,1,0,2,0,0,0,0,5,2,1
20300007,1610612761,0,0,0,0,1,1,1,0,2,6,0,1,1610612751,0,0,2,0,0,2,2,0,1,3,1,1
20300008,1610612765,1,0,1,0,3,1,0,0,1,4,1,0,1610612754,1,0,1,0,1,0,0,0,0,8,0,1
20300009,1610612750,0,0,1,0,0,1,2,0,1,5,2,0,1610612749,2,0,0,0,0,1,2,0,0,6,1,0
20300010,1610612741,1,0,2,0,1,1,1,0,0,6,0,0,1610612764,0,0,0,0,1,2,1,0,1,5,1,1
20300011,1610612743,2,0,0,0,1,1,2,0,0,6,0,0,1610612759,0,0,1,0,1,2,0,0,2,4,0,0
20300012,1610612762,0,0,1,0,1,5,1,0,0,2,1,0,1610612757,1,1,0,0,0,0,1,0,0,6,1,1
20300013,1610612744,1,0,0,0,1,2,1,0,1,4,0,0,1610612742,1,0,0,0,0,4,1,0,0,5,1,0
20300014,1610612758,2,0,0,0,1,0,1,0,0,7,1,0,1610612739,1,0,1,0,1,0,0,0,0,7,2,0
20300015,1610612760,1,1,0,0,1,1,0,0,1,5,1,1,1610612746,1,0,2,0,1,1,0,0,0,5,0,1
20300016,1610612753,1,0,0,0,0,1,2,0,1,6,0,1,1610612740,0,1,1,0,1,0,1,0,1,6,0,1
20300017,1610612745,0,1,2,0,1,1,1,0,0,4,0,2,1610612743,2,0,0,0,1,1,1,0,0,6,0,1
20300018,1610612756,0,0,1,0,0,1,2,0,1,6,0,1,1610612739,0,0,0,0,1,0,1,0,0,8,1,1
20300019,1610612761,0,0,0,0,1,2,1,0,2,5,0,1,1610612764,1,0,1,0,0,0,2,0,1,6,1,0
20300020,1610612748,1,0,1,0,0,2,1,0,2,4,0,0,1610612765,1,0,0,0,3,2,0,0,0,4,0,2
20300021,1610612754,0,0,1,0,1,3,0,0,0,6,0,1,1610612749,2,0,0,0,1,2,2,0,0,5,0,0
20300022,1610612751,0,0,2,0,0,1,2,0,0,5,1,0,1610612750,0,0,2,0,0,1,1,0,0,6,2,0
20300023,1610612763,0,0,1,0,1,2,1,0,2,4,1,0,1610612738,0,0,0,0,1,1,1,0,1,5,1,1
20300024,1610612741,0,0,1,0,1,3,1,0,2,3,0,1,1610612737,2,0,2,0,2,0,0,0,0,4,1,0
20300025,1610612746,1,0,3,0,0,2,0,0,0,4,0,1,1610612760,1,0,1,0,1,0,1,0,1,5,1,1
20300026,1610612758,1,0,0,0,0,0,2,0,0,7,1,1,1610612755,0,0,1,0,0,1,2,0,2,4,0,1
20300027,1610612764,1,0,2,0,1,2,1,0,0,4,1,0,1610612751,0,0,1,0,0,3,1,0,0,4,0,1
20300028,1610612753,0,0,0,0,0,2,2,0,0,6,0,1,1610612765,1,0,1,0,3,1,0,0,0,4,0,2
20300029,1610612737,2,0,1,0,1,1,1,0,0,4,0,1,1610612754,0,0,1,0,0,1,2,0,0,6,0,1
20300030,1610612740,1,0,1,0,0,1,1,0,1,6,0,1,1610612738,0,0,1,0,0,1,1,0,0,5,1,1
20300031,1610612750,0,0,1,0,1,2,1,0,1,5,1,0,1610612761,0,0,2,0,0,1,1,0,1,6,0,1
20300032,1610612749,2,0,0,0,1,1,2,0,0,6,0,0,1610612741,1,0,1,0,1,2,1,0,1,4,1,0
20300033,1610612742,3,0,0,0,0,2,1,0,0,4,1,0,1610612762,1,0,1,0,0,1,2,0,0,5,0,0
20300034,1610612745,1,0,1,0,1,0,1,0,1,6,0,1,1610612763,0,0,1,0,0,2,2,0,2,5,0,0
20300035,1610612759,0,0,2,0,0,3,1,0,2,3,0,0,1610612752,0,0,3,0,0,0,0,0,2,5,1,1
20300036,1610612743,1,0,2,0,2,2,0,0,0,4,0,1,1610612758,0,0,0,0,1,0,1,0,1,7,1,1
20300037,1610612756,1,0,1,0,0,2,2,0,0,5,0,1,1610612747,1,0,0,0,0,0,4,0,0,5,1,0
20300038,1610612757,2,0,1,0,0,0,1,0,1,5,1,0,1610612739,0,0,0,0,0,0,2,0,0,8,2,0
20300039,1610612744,1,0,0,0,1,2,1,0,2,2,0,1,1610612755,0,0,2,0,0,2,1,0,2,3,0,1
20300040,1610612747,0,0,0,0,0,1,3,0,0,5,1,1,1610612744,2,0,0,0,1,1,1,0,2,3,0,0
20300041,1610612753,1,0,0,0,0,0,2,0,1,6,0,1,1610612752,1,0,1,0,2,1,0,0,1,4,1,1
20300042,1610612737,2,0,1,0,1,1,1,0,0,4,0,0,1610612740,0,1,1,0,0,1,0,0,1,7,0,1
20300043,1610612763,0,0,1,0,1,2,1,0,4,3,0,0,1610612759,0,0,1,0,2,3,0,0,3,2,0,0
20300044,1610612741,2,0,1,0,1,1,0,0,1,5,0,0,1610612745,1,0,1,0,1,1,1,0,2,4,0,1
20300045,1610612742,2,0,0,0,0,2,1,0,0,5,1,0,1610612748,0,0,0,0,0,1,2,0,2,5,0,0
20300046,1610612762,0,0,1,0,1,2,2,0,1,4,0,0,1610612750,0,0,1,0,1,2,1,0,0,5,2,0
20300047,1610612757,0,0,1,0,0,1,1,0,2,5,1,1,1610612755,0,0,1,0,0,2,1,0,2,5,0,1
