,PLAYER_ID,SEASON_ID,TEAM_ID_x,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB_x,AST_x,STL,BLK,TOV,PF,PTS_x,HEIGHT,WEIGHT,SEASON_EXP,PTS_y,AST_y,REB_y,draft_flag,MPG
156,2696,2006-07,1610612749,MIL,27.0,41,0.0,432.0,5.1,11.8,0.433,1.5,4.3,0.346,2.3,2.7,0.8440000000000001,0.2,2.1,2.3,4.4,1.4,0.1,1.5,2.7,13.9,74.0,175.0,1,4.1,1.3,0.7,False,10.5
160,2763,2004-05,1610612746,LAC,24.0,36,0.0,433.0,3.5,10.4,0.336,1.0,4.1,0.245,1.2,2.0,0.625,0.3,2.2,2.6,4.2,1.1,0.0,2.0,2.5,9.2,72.0,180.0,1,3.1,1.4,0.9,True,12.0
162,2779,2006-07,1610612745,HOU,24.0,31,0.0,272.0,3.0,9.5,0.319,0.7,3.8,0.172,4.5,5.6,0.81,0.7,2.3,2.9,3.7,0.9,0.1,3.8,4.4,11.3,76.0,195.0,0,2.7,0.9,0.7,True,8.8
164,2798,2004-05,1610612765,DET,30.0,15,0.0,104.0,5.2,15.5,0.3329999999999999,0.0,3.1,0.0,4.1,4.5,0.923,1.0,2.1,3.1,3.1,1.7,0.3,2.4,2.1,14.5,73.0,180.0,1,2.8,0.6,0.6,False,6.9
166,2867,2007-08,1610612748,MIA,27.0,11,4.0,304.0,4.1,11.2,0.368,0.9,3.9,0.242,0.7,1.1,0.667,0.9,4.3,5.2,2.1,1.1,0.2,0.6,2.1,9.9,79.0,215.0,1,7.6,1.6,4.0,False,27.6
168,2891,2004-05,1610612753,ORL,30.0,10,0.0,115.0,2.8,9.7,0.29,0.0,1.3,0.0,1.6,3.1,0.5,1.9,2.2,4.1,1.9,1.6,0.6,0.9,5.0,7.2,78.0,215.0,0,2.3,0.6,1.3,True,11.5
1276,101147,2005-06,1610612744,GSW,21.0,17,0.0,144.0,5.8,9.5,0.605,0.0,0.0,0.0,0.3,1.5,0.1669999999999999,4.8,4.3,9.0,0.5,0.5,1.8,0.5,6.3,11.8,82.0,261.0,1,2.8,0.1,2.1,True,8.5
1278,101148,2006-07,1610612751,NJN,23.0,5,0.0,6.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.1,0.0,0.0,0.0,18.4,6.1,0.0,85.0,255.0,1,0.0,0.0,0.2,True,1.2
1280,101149,2005-06,1610612739,CLE,20.0,6,0.0,9.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,11.5,15.3,0.0,7.7,0.0,0.0,3.8,0.0,86.0,240.0,1,0.0,0.0,0.7,True,1.5
1282,101166,2006-07,1610612761,TOR,24.0,20,0.0,72.0,7.0,13.0,0.5379999999999999,0.5,1.0,0.5,4.5,6.5,0.6920000000000001,3.5,3.5,7.0,0.5,0.5,1.0,4.5,5.5,19.0,82.0,238.0,1,1.9,0.1,0.7,True,3.6
1284,101178,2005-06,1610612740,NOK,26.0,19,0.0,135.0,3.7,11.0,0.341,0.8,3.2,0.25,3.5,4.0,0.867,0.8,1.9,2.7,1.3,1.9,0.0,2.1,2.7,11.8,76.0,214.0,0,2.3,0.3,0.5,False,7.1
1286,101188,2005-06,1610612741,CHI,23.0,19,0.0,141.0,3.8,9.4,0.405,0.3,1.8,0.143,2.0,2.5,0.8,1.8,5.4,7.1,2.0,2.3,0.5,2.3,4.3,9.9,77.0,215.0,1,2.1,0.4,1.5,False,7.4
1288,101207,2005-06,1610612766,CHA,27.0,39,1.0,340.0,2.3,9.3,0.25,1.1,5.7,0.185,1.7,1.8,0.941,0.4,2.3,2.8,5.1,2.8,0.2,2.6,6.7,7.4,75.0,205.0,1,1.8,1.2,0.7,False,8.7
1290,101219,2005-06,1610612737,ATL,27.0,12,0.0,108.0,6.3,12.7,0.5,1.7,5.0,0.3329999999999999,3.0,4.7,0.643,0.3,5.3,5.7,3.0,2.3,0.0,3.0,4.7,17.3,75.0,185.0,0,4.3,0.8,1.4,False,9.0
1292,101230,2005-06,1610612760,SEA,24.0,12,0.0,82.0,2.6,11.0,0.24,0.4,1.3,0.3329999999999999,2.2,3.5,0.625,1.3,4.4,5.7,0.9,0.9,1.3,3.5,5.7,7.9,81.0,225.0,1,1.5,0.2,1.1,False,6.8
1294,200785,2007-08,1610612744,GSW,23.0,7,0.0,38.0,2.8,9.5,0.3,0.0,0.0,0.0,3.8,5.7,0.667,5.7,6.6,12.3,0.9,0.0,1.9,0.9,5.7,9.5,86.0,240.0,1,1.4,0.1,1.9,True,5.4
1296,200786,2006-07,1610612749,MIL,23.0,68,0.0,792.0,3.0,8.0,0.367,0.8,2.4,0.321,1.7,2.0,0.86,1.9,3.7,5.6,3.0,1.1,0.4,1.8,3.5,8.4,78.0,230.0,1,2.7,1.0,1.8,True,11.6
1298,200806,2006-07,1610612749,MIL,21.0,30,0.0,170.0,4.0,11.0,0.365,1.3,3.4,0.375,1.5,2.3,0.636,2.3,4.2,6.5,1.3,0.6,0.2,3.2,4.6,10.8,82.0,225.0,0,1.7,0.2,1.0,True,5.7
1300,200807,2006-07,1610612765,DET,23.0,14,0.0,166.0,2.0,6.5,0.3,0.2,1.1,0.2,1.3,1.3,1.0,1.3,2.0,3.3,3.7,1.1,0.0,2.6,2.0,5.4,72.0,205.0,1,1.8,1.2,1.1,True,11.9
