start_date,end_date,season,season_yr
10/28/2003,4/14/2004,2003-04,2004
11/2/2004,4/20/2005,2004-05,2005
11/1/2005,4/19/2006,2005-06,2006
10/31/2006,4/28/2007,2006-07,2007
10/30/2007,4/16/2008,2007-08,2008
10/28/2008,4/15/2009,2008-09,2009
10/27/2009,4/14/2010,2009-10,2010
10/26/2010,4/13/2011,2010-11,2011
12/25/2011,4/26/2012,2011-12,2012
10/30/2012,4/17/2013,2012-13,2013
10/29/2013,4/16/2014,2013-14,2014
10/28/2014,4/15/2015,2014-15,2015
10/27/2015,4/13/2016,2015-16,2016
10/25/2016,4/12/2017,2016-17,2017
10/17/2017,4/11/2018,2017-18,2018
10/16/2018,4/10/2019,2018-19,2019
